NAME,B08006_001E,B08006_017E,B28002_001E,B28002_004E,B19013_001E,B23025_003E,B23025_005E,B01003_001E,C24030_001E,C24030_013E,C24030_040E,C24030_015E,C24030_042E,C24030_018E,C24030_045E,C24030_019E,C24030_046E,state,county,year
"Ellis County, Oklahoma",1746.0,103.0,1625,995,50594.0,1900.0,106.0,4102,1794.0,3.0,7.0,19.0,47.0,17.0,43.0,0.0,0.0,40,045,2017
"Grady County, Oklahoma",24183.0,808.0,19743,12743,55527.0,25438.0,966.0,54351,24472.0,118.0,177.0,253.0,509.0,440.0,599.0,10.0,0.0,40,051,2017
"Payne County, Oklahoma",35407.0,1139.0,30404,23820,39149.0,38077.0,1700.0,80634,36377.0,295.0,323.0,208.0,690.0,815.0,545.0,9.0,7.0,40,119,2017
"Pottawatomie County, Oklahoma",29151.0,884.0,25925,17178,46159.0,31688.0,2118.0,71614,29570.0,254.0,174.0,187.0,586.0,546.0,592.0,0.0,5.0,40,125,2017
"Creek County, Oklahoma",29970.0,1480.0,26398,19030,47147.0,31545.0,1318.0,70899,30227.0,255.0,218.0,306.0,830.0,554.0,634.0,4.0,8.0,40,037,2017
"Tillman County, Oklahoma",3030.0,169.0,3012,1964,40728.0,3310.0,181.0,7591,3129.0,30.0,0.0,48.0,79.0,22.0,52.0,0.0,0.0,40,141,2017
"Washita County, Oklahoma",4833.0,262.0,4484,2995,51909.0,5170.0,237.0,11550,4933.0,35.0,18.0,35.0,132.0,59.0,38.0,0.0,0.0,40,149,2017
"Cotton County, Oklahoma",2397.0,95.0,2265,1498,49962.0,2668.0,233.0,6000,2435.0,14.0,29.0,15.0,46.0,35.0,65.0,0.0,0.0,40,033,2017
"Kiowa County, Oklahoma",3858.0,192.0,3839,2591,38191.0,4167.0,256.0,9127,3911.0,26.0,8.0,16.0,73.0,46.0,39.0,8.0,0.0,40,075,2017
"Le Flore County, Oklahoma",18460.0,417.0,18354,11339,39253.0,20066.0,1377.0,49860,18689.0,112.0,154.0,90.0,491.0,229.0,251.0,2.0,5.0,40,079,2017
"McCurtain County, Oklahoma",12148.0,124.0,12980,6970,34250.0,13173.0,750.0,33026,12423.0,140.0,48.0,69.0,185.0,94.0,136.0,4.0,4.0,40,089,2017
"Major County, Oklahoma",3302.0,108.0,3030,1992,52056.0,3506.0,163.0,7730,3343.0,7.0,16.0,46.0,96.0,27.0,44.0,4.0,0.0,40,093,2017
"Mayes County, Oklahoma",16893.0,781.0,15730,10818,45302.0,18104.0,967.0,40929,17137.0,174.0,79.0,91.0,339.0,134.0,206.0,0.0,0.0,40,097,2017
"Oklahoma County, Oklahoma",362406.0,13519.0,296818,227943,50762.0,384133.0,20135.0,774203,363998.0,4014.0,2482.0,6891.0,10112.0,11545.0,10945.0,219.0,410.0,40,109,2017
