variable,missing_share
log_median_hh_income,0.00027272727272727274
digital_emp_share,4.545454545454545e-05
unemployment_rate,4.545454545454545e-05
unemployed,4.545454545454545e-05
workers_total,4.545454545454545e-05
workers_wfh,4.545454545454545e-05
remote_work_share,4.545454545454545e-05
labor_force,4.545454545454545e-05
median_hh_income,4.545454545454545e-05
emp_total,4.545454545454545e-05
digital_emp_count,4.545454545454545e-05
year,0.0
population,0.0
broadband_sub_share,0.0
state_fips,0.0
hh_broadband,0.0
hh_total,0.0
NAME,0.0
county_id,0.0
county_fips,0.0
fcc_series_break_post_2022,0.0
